Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-11-12,305.3,321.9,300.5,320.0,312.6,795346.0,2482.09
2008-11-14,320.0,327.0,307.65,314.0,313.5,482717.0,1521.13
2008-11-17,315.0,326.5,313.1,323.0,324.7,922916.0,2953.71
2008-11-18,325.0,329.9,316.25,317.5,317.75,632774.0,2043.34
2008-11-19,325.0,325.0,313.1,314.2,315.7,430075.0,1365.86
2008-11-20,313.0,320.0,298.65,315.0,311.4,386226.0,1183.87
2008-11-21,310.0,330.0,310.0,328.0,327.55,451513.0,1460.56
2008-11-24,327.0,340.5,320.5,334.5,336.65,660292.0,2169.29
2008-11-25,333.0,345.5,326.5,333.1,333.3,378648.0,1272.13
2008-11-26,330.35,353.5,329.0,350.9,350.4,878320.0,3004.38
2008-11-28,344.0,369.9,320.0,363.0,355.2,1181390.0,4146.68
2008-12-01,360.0,376.0,355.1,364.0,366.15,1120202.0,4123.63
2008-12-02,361.0,369.0,355.5,363.9,362.4,928407.0,3359.84
2008-12-03,365.0,367.5,352.55,357.55,358.2,487268.0,1749.27
2008-12-04,360.0,368.0,356.25,363.2,363.75,485438.0,1756.1
2008-12-05,361.0,369.9,334.0,338.85,340.05,824542.0,2877.09
2008-12-08,340.1,360.0,324.1,327.0,325.9,786216.0,2588.25
2008-12-10,326.0,339.3,321.5,336.05,335.2,496301.0,1647.91
2008-12-11,332.0,339.0,320.65,321.95,323.55,545631.0,1776.39
2008-12-12,318.0,355.0,313.95,353.2,342.95,1134242.0,3788.07
2008-12-15,350.0,355.5,343.35,346.0,347.7,564627.0,1979.52
2008-12-16,342.75,354.0,342.0,349.35,347.95,271208.0,944.16
2008-12-17,350.0,355.0,344.1,344.1,348.95,511861.0,1786.79
2008-12-18,350.0,381.7,350.0,363.0,367.1,1685955.0,6207.11
2008-12-19,370.0,388.9,370.0,385.55,385.4,1022166.0,3894.76
2008-12-22,385.25,385.25,360.2,369.0,365.95,689622.0,2533.07
2008-12-23,370.0,400.0,357.25,365.6,366.6,868239.0,3204.48
2008-12-24,365.0,387.0,365.0,384.0,385.3,1226174.0,4693.47
2008-12-26,382.0,396.5,372.6,375.95,374.4,666454.0,2548.99
2008-12-29,376.0,382.8,365.15,380.0,379.95,651552.0,2446.22
2008-12-30,378.0,387.9,368.2,387.0,385.2,704542.0,2655.8
2008-12-31,387.95,389.5,373.5,377.0,376.1,673939.0,2567.21
2009-01-01,377.0,377.0,357.55,361.15,360.1,978371.0,3561.04
2009-01-02,365.0,369.7,361.0,364.2,363.65,609217.0,2219.65
2009-01-05,365.0,365.9,351.05,359.5,359.15,949640.0,3399.38
2009-01-06,357.0,378.35,356.0,373.0,373.45,1084618.0,4030.19
2009-01-07,375.0,376.8,358.0,368.0,367.85,554201.0,2035.83
2009-01-09,368.0,383.0,363.0,379.1,380.65,917439.0,3474.95
2009-01-12,380.65,385.0,358.6,361.05,364.8,916467.0,3366.6
2009-01-13,360.0,379.95,360.0,378.0,375.4,685278.0,2566.54
2009-01-14,375.0,380.0,370.0,374.45,374.25,475221.0,1786.94
2009-01-15,380.05,381.35,367.55,376.95,376.55,559181.0,2105.67
2009-01-16,380.0,387.75,377.0,384.0,385.25,650985.0,2502.78
2009-01-19,390.0,391.2,380.6,383.5,384.6,554143.0,2134.07
2009-01-20,380.0,395.9,374.0,393.3,392.8,1138705.0,4469.98
2009-01-21,390.0,395.0,386.05,388.4,388.3,362989.0,1415.64
2009-01-22,386.0,388.9,380.0,384.15,385.1,234209.0,898.98
2009-01-23,370.25,385.95,362.7,366.0,366.6,622976.0,2318.53
2009-01-27,390.0,390.0,364.2,383.0,384.5,519952.0,1980.29
2009-01-28,385.5,390.0,376.35,379.15,378.4,604669.0,2305.09
2009-01-29,379.0,392.0,361.0,389.0,389.55,1240117.0,4756.14
2009-01-30,395.0,423.3,382.5,392.0,391.95,1363563.0,5341.99
2009-02-02,384.4,391.1,379.25,381.05,381.85,669983.0,2565.39
2009-02-03,383.65,390.0,381.65,387.1,387.5,526357.0,2034.25
2009-02-04,387.5,392.6,387.05,389.0,389.15,672123.0,2616.52
2009-02-05,394.8,394.85,388.15,392.0,390.25,507064.0,1978.06
2009-02-06,393.15,393.9,386.2,390.5,390.3,656560.0,2562.61
2009-02-09,390.0,401.65,385.25,398.0,398.55,652695.0,2563.08
2009-02-10,400.0,404.7,392.35,404.0,400.7,388584.0,1548.95
2009-02-11,402.6,412.0,400.0,411.4,410.5,280312.0,1143.6
2009-02-12,412.5,418.0,405.1,407.0,407.2,576547.0,2362.2
2009-02-13,408.9,416.0,408.0,408.0,409.4,327086.0,1347.87
2009-02-16,409.0,409.0,395.4,396.9,397.15,134390.0,538.25
2009-02-17,390.0,400.8,390.0,397.8,394.95,308635.0,1222.99
2009-02-18,397.0,421.9,395.8,416.0,415.4,674346.0,2771.93
2009-02-19,416.0,418.0,412.0,415.9,414.5,400836.0,1661.92
2009-02-20,412.0,415.0,404.2,413.0,412.65,287466.0,1177.17
2009-02-24,401.0,412.8,401.0,406.95,408.25,211628.0,866.62
2009-02-25,410.0,410.0,397.15,404.0,401.95,264487.0,1073.87
2009-02-26,401.75,405.9,382.1,385.55,385.85,680797.0,2637.88
2009-02-27,390.0,393.8,367.6,391.0,382.9,614300.0,2324.2
2009-03-02,370.5,387.4,370.5,373.5,377.1,309901.0,1179.88
2009-03-03,375.0,391.9,375.0,383.8,385.15,526690.0,2039.55
2009-03-04,386.25,390.5,381.5,385.35,387.15,374723.0,1448.75
2009-03-05,383.5,383.5,375.2,378.0,377.35,174770.0,661.17
2009-03-06,377.0,383.8,375.6,380.0,379.3,325969.0,1240.16
2009-03-09,376.95,376.95,350.25,350.5,354.05,411000.0,1484.31
2009-03-12,354.0,370.0,350.15,351.3,354.95,819416.0,2927.86
2009-03-13,356.0,356.0,342.15,346.0,345.05,490129.0,1701.05
2009-03-16,350.0,361.75,350.0,360.8,359.9,767573.0,2733.96
2009-03-17,359.9,360.8,346.2,354.0,354.6,895042.0,3156.86
2009-03-18,352.0,353.0,335.2,340.35,340.75,874578.0,2998.66
2009-03-19,339.0,342.7,332.25,341.1,339.1,485885.0,1638.89
2009-03-20,337.0,337.9,329.5,335.85,332.95,531645.0,1769.77
2009-03-23,342.0,342.0,331.2,341.0,340.05,517273.0,1749.56
2009-03-24,340.0,353.95,338.0,349.3,349.95,1185428.0,4133.79
2009-03-25,348.9,359.25,346.55,350.4,350.7,534657.0,1889.78
2009-03-26,353.0,363.1,350.0,358.0,359.3,893062.0,3189.7
2009-03-27,358.0,368.5,356.0,364.9,364.15,605254.0,2205.96
2009-03-30,364.0,377.7,363.15,367.8,369.2,596631.0,2221.86
2009-03-31,370.15,380.0,368.3,374.75,376.05,1423588.0,5349.45
2009-04-01,380.0,381.95,362.3,365.0,364.8,428832.0,1581.02
2009-04-02,370.0,375.9,366.3,372.95,372.9,416642.0,1550.92
2009-04-06,376.4,377.7,362.1,373.25,374.4,849591.0,3142.99
2009-04-08,370.0,386.9,370.0,384.95,384.65,922060.0,3541.69
2009-04-09,384.7,392.65,380.55,384.0,384.3,437372.0,1689.33
2009-04-13,380.0,386.25,365.0,369.0,369.8,1096294.0,4057.22
2009-04-15,370.5,376.8,361.35,365.0,368.5,1504053.0,5562.04
