Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2002-12-02,195.9,195.9,194.1,195.0,194.9,73633.0,143.45
2002-12-03,195.2,195.5,194.0,195.0,195.1,108026.0,210.54
2002-12-04,193.4,199.0,193.4,195.65,195.8,151088.0,295.21
2002-12-05,196.8,198.9,194.6,198.05,197.85,47359.0,92.99
2002-12-06,200.0,200.8,195.5,199.0,198.3,58471.0,115.25
2002-12-09,190.25,200.0,190.25,195.75,196.3,101049.0,199.64
2002-12-10,195.1,195.25,188.0,189.1,190.0,141389.0,269.78
2002-12-11,190.25,191.85,187.3,188.0,188.0,84652.0,159.77
2002-12-12,190.0,197.5,189.2,197.0,194.05,311628.0,597.24
2002-12-13,197.0,204.8,197.0,203.0,202.85,502623.0,1012.81
2002-12-16,205.0,215.55,205.0,209.9,209.5,345437.0,726.81
2002-12-17,211.0,215.9,205.05,215.0,215.05,222956.0,472.09
2002-12-18,216.0,219.9,212.35,215.25,217.85,267483.0,580.57
2002-12-19,215.0,218.9,212.8,218.5,218.05,197377.0,428.28
2002-12-20,218.75,222.0,217.25,220.25,220.45,151988.0,333.79
2002-12-23,220.75,223.0,218.0,218.0,219.75,87463.0,192.93
2002-12-24,219.3,220.75,218.0,218.95,218.45,83455.0,183.29
2002-12-26,219.5,219.75,218.0,218.2,218.0,33996.0,74.2
2002-12-27,217.3,219.5,217.3,218.05,218.55,207767.0,453.47
2002-12-30,217.3,217.95,213.1,215.0,214.2,33827.0,72.69
2002-12-31,213.1,219.9,211.0,219.0,216.05,130035.0,278.86
2003-01-01,219.9,219.9,215.0,215.0,215.6,18752.0,40.68
2003-01-02,217.0,219.0,214.9,218.75,218.35,31539.0,68.49
2003-01-03,215.55,218.5,215.0,215.05,215.45,34211.0,74.09
2003-01-06,215.4,216.0,214.1,215.45,214.85,90909.0,195.47
2003-01-07,215.0,218.0,214.55,217.95,217.65,88901.0,192.76
2003-01-08,216.35,217.0,214.5,214.85,214.95,121544.0,261.21
2003-01-09,214.0,215.3,211.5,214.45,213.95,152386.0,325.13
